,subject,date,-20_to_0,0_to_10,date_int,cage
0,1.1,20230526,0.1560128205128205,0.31351282051282053,20230526,1
1,1.1,20230527,0.2863461538461538,0.5246923076923076,20230527,1
2,1.1,20230528,0.4813333333333334,0.6995641025641025,20230528,1
3,1.2,20230526,0.05991025641025641,0.08751282051282051,20230526,1
4,1.2,20230527,0.061307692307692306,0.15825641025641024,20230527,1
5,1.2,20230528,0.23776923076923076,0.5196923076923078,20230528,1
6,1.3,20230526,0.0028076923076923075,0.000358974358974359,20230526,1
7,1.3,20230527,0.12097435897435896,0.274025641025641,20230527,1
8,1.3,20230528,0.19605128205128203,0.3221025641025641,20230528,1
9,1.4,20230526,0.0002692307692307692,0.000717948717948718,20230526,1
10,1.4,20230527,0.11010256410256411,0.23835897435897435,20230527,1
11,1.4,20230528,0.11948717948717948,0.29317948717948716,20230528,1
