,Unnamed: 0,tone_timestamp,tone_index,rewarded_or_not,competition_winners,condition,lfp_index,subj_1_1_condition,subj_1_4_condition
0,0,1934930,1099250,rewarded,1.4,1.4,54962,lose,win
1,1,4334936,3499256,rewarded,1.1,1.1,174962,win,lose
2,2,6634931,5799251,rewarded,1.1,1.1,289962,win,lose
3,3,8434930,7599250,rewarded,1.4,1.4,379962,lose,win
4,4,9534930,8699250,rewarded,1.1,1.1,434962,win,lose
5,5,10534929,9699249,rewarded,1.4,1.4,484962,lose,win
6,6,12434926,11599246,rewarded,1.4,1.4,579962,lose,win
7,7,13934925,13099245,rewarded,1.4,1.4,654962,lose,win
8,8,16034924,15199244,rewarded,1.1,1.1,759962,win,lose
9,9,17034926,16199246,rewarded,1.1,1.1,809962,win,lose
10,10,18634925,17799245,rewarded,1.1,1.1,889962,win,lose
11,11,19934925,19099245,rewarded,1.1,1.1,954962,win,lose
12,12,21234922,20399242,rewarded,1.1,1.1,1019962,win,lose
13,13,22234924,21399244,rewarded,1.1,1.1,1069962,win,lose
14,14,23634923,22799243,rewarded,1.1,1.1,1139962,win,lose
15,15,25534923,24699243,rewarded,1.1,1.1,1234962,win,lose
16,16,27134920,26299240,rewarded,1.1,1.1,1314962,win,lose
17,17,28534922,27699242,rewarded,1.1,1.1,1384962,win,lose
18,18,30734921,29899241,rewarded,1.1,1.1,1494962,win,lose
19,19,31934918,31099238,rewarded,1.4,1.4,1554961,lose,win
20,20,37934919,37099239,rewarded,0.0,rewarded,1854961,rewarded,rewarded
21,21,39134916,38299236,rewarded,0.0,rewarded,1914961,rewarded,rewarded
22,22,40234916,39399236,rewarded,0.0,rewarded,1969961,rewarded,rewarded
23,23,41534918,40699238,rewarded,0.0,rewarded,2034961,rewarded,rewarded
24,24,42634918,41799238,rewarded,0.0,rewarded,2089961,rewarded,rewarded
25,25,43634915,42799235,rewarded,0.0,rewarded,2139961,rewarded,rewarded
26,26,44634917,43799237,rewarded,0.0,rewarded,2189961,rewarded,rewarded
27,27,46734914,45899234,omission,0.0,omission,2294961,omission,omission
28,28,49134915,48299235,rewarded,0.0,rewarded,2414961,rewarded,rewarded
29,29,51534912,50699232,rewarded,0.0,rewarded,2534961,rewarded,rewarded
30,30,53734914,52899234,rewarded,0.0,rewarded,2644961,rewarded,rewarded
31,31,55434913,54599233,rewarded,0.0,rewarded,2729961,rewarded,rewarded
32,32,57834912,56999232,rewarded,0.0,rewarded,2849961,rewarded,rewarded
33,33,59034912,58199232,omission,0.0,omission,2909961,omission,omission
34,34,60334909,59499229,rewarded,0.0,rewarded,2974961,rewarded,rewarded
35,35,61534911,60699231,rewarded,0.0,rewarded,3034961,rewarded,rewarded
36,36,63034911,62199231,rewarded,0.0,rewarded,3109961,rewarded,rewarded
37,37,65034907,64199227,omission,0.0,omission,3209961,omission,omission
